1,PRINTER EPSON M100 ,5290,4900,1,1,1
2,MAINBOARD 1151 ASROCK H110M-HDV ,1990,1790,10,2,1
3,MAINBOARD 1151 ASROCK H170-PERFORMANCE HYPER ,3950,3800,10,2,1
4,MAINBOARD 1151 ASROCK Z170 EXTREME6,6590,6000,5,2,1
5,MAINBOARD 1150 ASUS MAXIMUS-VIII-IMPACT ,10200,9820,1,2,1
6,MAINBOARD 1151 Z170 S SABERTOOTH,9150,8850,2,2,1
7,MAINBOARD 1151 GIGABYTE H170 GAMING 3,3850,3520,5,2,1
8,MAINBOARD 1151 GIGABYTE Z170X ULTRA GAMING ,6290,5950,5,2,1
9,MAINBOARD 1151 GIGABYTE Z170X GAMING 7,8550,8150,2,2,1
10,MAINBOARD 1151 MSI Z170A MPOWER GAMING TITANIUM ,9790,9390,1,2,1
11,MOUSE PAD ASUS ROG SHEATH ,1220,890,10,3,1
12,KEYBOARD CORSAIR STRAFE BLUE SW THAI,4190,3890,15,4,1
13,KEYBOARD SIGNO GAMING MACRO KB-729 BLACK ,690,590,20,4,1
14,KEYBOARD SIGNO GAMING SEMI PANDORA KB-749,890,790,20,4,1
15,KEYBOARD MSI GK-701 BROWN SWITCH ENG-LG,3990,3790,5,4,1
16,KEYBOARD CORSAIR K70 RGB RAPIDFIRE MX SPEED ,6490,6090,10,4,1
17,KEYBOARD CORSAIR K70 RGB BROWN CHERRY SWITCH ,6290,5890,5,4,1
18,MOUSE STEELSERIES RIVAL 100 WHITE ,1350,1150,10,3,1
19,MOUSE ASUS ROG GLADIUS ,1990,1890,10,3,1
20,MOUSE CORSAIR KATAR OPTICAL ,1490,1360,10,3,1
21,MOUSE CORSAIR M65 RGB PRO FPS WHITE,2750,2690,8,3,1
22,MOUSE NEOLUTION E-SPORT CYBORG V2,650,590,15,3,1
23,MOUSE NEOLUTION E-SPORT A SERIES ARES ,240,200,15,3,1
24,MOUSE STEELSERIES RIVAL 95 ,990,950,10,3,1
25,HEADSET OZONE EKHO H80 PRO RGB ORIGEN TEAM LOGO ,3950,3690,5,5,1
26,HEADSET ASUS STRIX 7.1 ,6990,6790,2,5,1
27,HEADSET CORSAIR VOID SURROUNG HYBRID STEREO ,3390,3000,5,5,1
28,HEADSET RAZER MANO WAR WIRELESS,6990,6790,3,5,1
29,HEADSET STEELSERIES SIBERIA 350 BK ,3390,3000,5,5,1
30,HEADSET STEELSERIES SIBERIA V2 IG EDITION,4200,3890,5,5,1
31,4 GB RAM PC DDR4/2400 CORSAIR RED ,1190,980,20,7,1
32,8 GB RAM PC DDR4/2400 CORSAIR VG BLACK (4X2) ,2140,1990,10,7,1
33,16 GB RAM PC DDR4/2400 G.SKILL RIPJAWS 4 (4x4) ,4490,4290,4,7,1
34,16 GB RAM PC DDR3/1600 G.SKILL SNIPER (8x2) ,4120,3900,4,7,1
35,16 GB RAM PC DDR3/1600 CORSAIR VG BLACK (8x2) ,3890,3690,6,7,1
36,16 GB RAM PC DDR3/1600 TEAM DARK UD-D3 BLACK (8x2) ,3190,2990,5,7,1
37,8 GB RAM PC DDR3/1600 KINGSTON HYPERX FURY BLACK ,4150,3950,6,7,1
38,250 GB SSD SAMSUNG 850 EVO (MZ-75E250BW) ,3750,3570,5,6,1
39,120 GB SSD INTEL 540 SERIES SATA 6GB,1969,1790,5,6,1
40,240 GB SSD ADATA XPG SX930 ,4090,3890,5,6,1
41,240 GB SSD KINGSTON HYPERX FURY (SHFS37A) SATA-3 ,3150,3090,5,6,1
42,2.0 TB HDD WD SATA-3 64 MB BLACK ,4590,4460,5,13,1
43,500 GB HDD SEAGATE SATA-III 32MB BARRACUDA,1550,1390,10,13,1
44,DVD-RW ASUS 24D5MT/BLK/G/AS 24X (BOX),490,450,20,11,1
45,VGA GALAX GTX970 EXOC BLACK SNIPER EDITION,8900,8600,1,8,1
46,VGA MSI GTX970 GAMING 4G DDR5 256BIT,8900,8600,1,8,1
47,VGA GIGABYTE GTX1070 G1 GAMING 8G 256 BIT ,16900,15800,1,8,1
48,VGA GIGABYTE GTX1060 OC 3G DDR5 192BIT,7990,7590,2,8,1
49,CASE THERMALTAKE SUPPRESSOR F51,4950,4590,1,9,1
50,POWER SUPPLY CORSAIR 750W RM750X,5290,4890,1,10,1
